상품정보,가격,장소,등급,용량,모델명
아이폰XSMAX 64G 골드 특S급 34만,340000,구의제1동,S급,64GB,아이폰XS
아이폰12미니 64G 레드 87% S급 27만,270000,구의제1동,S급,64GB,아이폰12미니
아이폰7플러스 128G 블랙 배터리88% 17만,170000,구의제1동,B급,128GB,아이폰7플러스
아이폰13 128G 미드나잇 미개봉 새상품66만,660000,구의제1동,S급,128GB,아이폰13
아이폰12 128G 화이트 A급 34만,340000,구의제1동,A급,128GB,아이폰12
아이폰13 128G 레드 A급 49만,490000,구의제1동,A급,128GB,아이폰13
아이폰12미니 128G 블랙 상태좋은폰 27만,270000,구의제1동,B급,128GB,아이폰12미니
아이폰13미니 128기가 무잔상 상태굿 ^^,420000,작전2동,A급,128GB,아이폰13미니
아이폰11프로 256 풀박,330000,송포동,B급,256GB,아이폰11프로
아이폰xs맥스 256기가 기능상태굿 ^^,290000,작전2동,A급,256GB,아이폰xs맥스
아이폰12 64기가128기가 무잔상 상태굿 ^^,320000,작전2동,A급,64GB,아이폰12
아이폰13프로 256기가 무찍힘 상태굿 ^^,750000,작전2동,A급,256GB,아이폰13프로
아이폰14프로 128G 무기스 무찍힘 상태최상,890000,작전2동,S급,128GB,아이폰14프로
아이폰13프로 256기가 무찍힘 상태굿 ^^,750000,작전2동,A급,256GB,아이폰13프로
아이폰xr 64기가 128기가 무잔상 상태굿 ^^,190000,작전2동,A급,128GB,아이폰xr
자급제 아이폰15프로 256 블랙 애플케어플러스양도가능,1350000,구갈동,B급,256GB,아이폰15프로
아이폰 14프로맥스 256기가 실버 애케플 판매합니다.,1100000,신정1동,B급,256GB,아이폰14프로맥스
아이폰 15프로 128기가 미개봉 네츄럴티타늄 대구,1280000,공산동,S급,128GB,아이폰15프로
아이폰15 프로 256G.단순개봉 새상품.풀박스.블루,1360000,중앙동,S급,256GB,아이폰15프로
아이폰15 프로 256G.단순개봉 새상품.풀박스.블랙,1350000,중앙동,S급,256GB,아이폰15프로
아이폰12미니 128G 퍼플 A급 27만,270000,구의제1동,A급,128GB,아이폰12미니
아이폰8플러스 256G 로즈골드 S급 24만,240000,구의제1동,S급,256GB,아이폰8플러스
아이폰13 미드나이트 128g,500000,중곡제1동,B급,128GB,아이폰13
아이폰13미니 128기가,300000,부사동,B급,128GB,아이폰13미니
아이폰11 프로맥스 256 박스풀셋 S급 배터리80%,348000,,S급,256GB,아이폰11프로맥스
애플 아이폰12 128기가 블랙,490000,수완동,B급,128GB,아이폰12
"(미개봉) 아이폰15프로 블랙, 내츄럴티타늄 256GB",1350000,충무동,S급,256GB,아이폰15프로
아이폰13 256G 배터리 100% 미드나이트,768000,보람동,S급,256GB,아이폰13
아이폰12미니 128퍼플 (정품애플유선이어폰 포함),230000,유림동,B급,128GB,아이폰12미니
아이폰xs 512GB 스페이스 그레이,350000,삼호동,B급,512GB,아이폰xs
아이폰15pro 256gb 블루티타늄,1250000,신천3동,B급,256GB,아이폰15프로
아이폰15프로 맥스 512GB 자급제 애플케어+,1750000,오남읍,B급,512GB,아이폰15프로
아이폰15프로 128 화이트티타늄 미개봉,1240000,계양2동,S급,128GB,아이폰15프로
아이폰5S 16GB 골드 색상 판매 합니다.,40000,,B급,16GB,아이폰5S
아이폰14프로 128 실버,1450000,합포동,B급,128GB,아이폰14프로
아이폰15프로맥스 256GB 화이트티타늄 s급,1720000,합포동,S급,256GB,아이폰15프로맥스
아이폰 se2 화이트 64기가 전면유리 깨짐,85000,관양1동,B급,64GB,아이폰SE2
아이폰 XS-MAX 실버 256GB,450000,미아동,B급,256GB,아이폰XS
아이폰 15 블루 256g,800000,화정1동,B급,256GB,아이폰15
아이폰11pro 256g 미드나잇그린,350000,가평읍,B급,256GB,아이폰11프로
아이폰12미니 화이트 64g,280000,가평읍,B급,64GB,아이폰12미니
아이폰 se2 레드 128GB,90000,,B급,128GB,아이폰SE2
아이폰15프로 128기가 단순개봉 미사용 풀박스폰팝니다,1150000,구월2동,B급,128GB,아이폰15프로
아이폰14 프로맥스 512,950000,,B급,512GB,아이폰14프로맥스
아이폰 12미니 64GB 저렴,200000,천호제1동,B급,64GB,아이폰12미니
아이폰 12 64GB,280000,천호제1동,B급,64GB,아이폰12
아이폰 13미니 256GB A급,480000,천호제1동,A급,256GB,아이폰13미니
아이폰 12 128G,280000,,B급,128GB,아이폰12
아이폰 5s 16기가,100000,별내동,B급,16GB,아이폰5S
아이폰 12프로 256 GB 저렴,400000,천호제1동,B급,256GB,아이폰12프로
아이폰 12 128GB A급,350000,천호제1동,A급,128GB,아이폰12
아이폰se1 스그 32G 미개봉 북미 락제품,380000,내외동,S급,32GB,아이폰SE
아이폰 se2 128 급처,150000,새롬동,B급,128GB,아이폰SE2
아이폰 SE 3 128GB A-급 정상해지 저렴,280000,천호제1동,A급,128GB,아이폰SE3
아이폰 SE2 128GB A-급,170000,천호제1동,A급,128GB,아이폰SE2
아이폰6 플러스 64gb,100000,,B급,64GB,아이폰6
아이폰 12미니 64GB 저렴,200000,천호제1동,B급,64GB,아이폰12미니
아이폰 13미니 128GB 저렴,380000,천호제1동,B급,128GB,아이폰13미니
아이폰 14 256GB S급,700000,천호제1동,S급,256GB,아이폰14
아이폰se3 스타라이트 자급제 128GB 배송비포함,305000,양양읍,B급,128GB,아이폰SE3
S급 아이폰 15 128기가 핑크 팝니다,850000,용암1동,S급,128GB,아이폰15
아이폰12 레드 256GB,230000,부곡동,B급,256GB,아이폰12
아이폰 14프로 256,860000,정자동,B급,256GB,아이폰14프로
아이폰14프로 256기가 자급제 판매(블랙),1000000,화정동,B급,256GB,아이폰14프로
아이폰 15 핑크 256g SSS급 급처,1040000,동탄3동,S급,256GB,아이폰15
아이폰13 미니 256gb,450000,중앙동,B급,256GB,아이폰13미니
아이폰13미니 256기가,400000,송도1동,B급,256GB,아이폰13미니
아이폰 12 64기가 퍼플 색상 A급,328000,,A급,64GB,아이폰12
아이폰14플러스 128GB 화이트 S급,760000,가호동,S급,128GB,아이폰14플러스
아이폰 5 실버 32기가,130000,,B급,32GB,아이폰5
S급 아이폰14프로 512기가 팝니다,1150000,우만1동,S급,512GB,아이폰14프로
[미사용급] 아이폰 15 블루 256 ip15,950000,철산1동,B급,256GB,아이폰15
[SS급] 아이폰 14플러스 블루 128 14+,700000,철산1동,S급,128GB,아이폰14플러스
